GO ID	GO term	genes	SpkBC1	SpkBC2	35S-C1	35S-C2	SpkBC	35S-C
GO:0016021	integral to membrane	679	0.986958601781799	0.907073328367811	0.843993430647199	0.997994741654911	0.946173252570298	0.917769582072316
GO:0005634	nucleus	530	1.05099215705283	0.964091743643586	0.902268056998921	1.06554205409927	1.00660462012093	0.980512396047489
GO:0016020	membrane	963	1.07804181227083	0.98130827241689	0.917770891279992	1.07947293565309	1.0285384525591	0.995343578000566
GO:0005622	intracellular	670	0.920486973611403	0.835752969929915	0.780663166790654	0.93582906561839	0.877097327539839	0.854732286707593
GO:0005840	ribosome	288	0.831443494159088	0.769706755419351	0.721675116749398	0.863572720648418	0.799979796122202	0.789442172673554
GO:0005737	cytoplasm	261	0.858304474890332	0.78346935642978	0.730948544696285	0.871805955034416	0.820033691114657	0.798276452170526
GO:0030117	membrane coat	18	0.841004518693594	0.77922889645476	0.727567622812497	0.880959841824762	0.809527654262087	0.800598437364023
GO:0048046	apoplast	77	1.12063521228074	1.01593383985983	0.955303179834254	1.07232708609125	1.06700104699785	1.01212522701757
GO:0012511	monolayer-surrounded lipid storage body	6	2.72248413962741	2.99199341752646	2.36501395432285	2.93173010876359	2.85405932403049	2.6331696902278
GO:0000786	nucleosome	53	1.29133968051216	1.17487686735489	1.11931166331575	1.30745628146777	1.23173256778052	1.20973181537162
GO:0033177	proton-transporting two-sector ATPase complex%2C proton-transporting domain	10	0.831437734558883	0.772534932942751	0.719273310645493	0.881814606007544	0.801445378371801	0.796408005383294
GO:0033179	proton-transporting V-type ATPase%2C V0 domain	8	0.815401814767271	0.763897731056606	0.706666020368726	0.863069287315132	0.789229748679152	0.780962059622269
GO:0009523	photosystem II	26	1.05750131313019	0.967291641702616	0.879554201451946	1.07380575066452	1.01139121079846	0.971838648922873
GO:0043231	intracellular membrane-bounded organelle	5	1.27496070507017	1.15740721671485	1.06333769552074	1.29022949965873	1.21476282503049	1.17130254966853
GO:0005783	endoplasmic reticulum	44	0.871596248857308	0.793563262622841	0.744606942648756	0.931402893087895	0.831665054533996	0.832783921912751
GO:0031461	cullin-RING ubiquitin ligase complex	9	0.95503938217641	0.860544430169695	0.805279061450027	0.96637305418279	0.906561537307102	0.882156440821532
GO:0005576	extracellular region	101	1.2585204244163	1.17996141701448	1.06193133832696	1.23428758411787	1.21860803515155	1.14487058922947
GO:0005730	nucleolus	6	0.815069945485881	0.747365192352205	0.697636213445163	0.841430076798905	0.78048376446186	0.766167144072924
GO:0030529	ribonucleoprotein complex	10	0.822088945906949	0.809575353755734	0.73366060190481	0.852156007397406	0.815808157106373	0.790691652481535
GO:0000172	ribonuclease MRP complex	1	1.41001067753942	1.23515351343536	1.13960929129919	1.43316695139416	1.31968922187922	1.27798684413875
GO:0005655	nucleolar ribonuclease P complex	1	1.41001067753942	1.23515351343536	1.13960929129919	1.43316695139416	1.31968922187922	1.27798684413875
GO:0030677	ribonuclease P complex	1	1.41001067753942	1.23515351343536	1.13960929129919	1.43316695139416	1.31968922187922	1.27798684413875
GO:0000015	phosphopyruvate hydratase complex	5	0.77968568778669	0.739005930825659	0.691360886453968	0.861685630037117	0.759073347875057	0.771839193761956
GO:0005743	mitochondrial inner membrane	35	0.852878428790642	0.805136715447989	0.727862492650732	0.890119451958715	0.828663826188243	0.804912767360274
GO:0000439	core TFIIH complex	2	0.861507235710786	0.795297371633205	0.710870459460041	0.863777592962343	0.827740563343235	0.783603199572608
GO:0005618	cell wall	55	1.0846949734144	0.97794322502182	0.960420826617298	1.05205113328149	1.02993694004334	1.00519242887612
GO:0005741	mitochondrial outer membrane	14	0.667656660263099	0.610460034108603	0.633695908576561	0.753035560706312	0.638418129126239	0.690793423414154
GO:0005669	transcription factor TFIID complex	6	0.974921499139289	0.914323993176173	0.838154478095915	0.998800941381272	0.944136705210816	0.914958732263444
GO:0015934	large ribosomal subunit	21	0.826674327947649	0.785001574209635	0.721499523083555	0.898974270044928	0.805568525202913	0.805362966060522
GO:0032040	small-subunit processome	4	0.577395417448982	0.529802373619155	0.480189605260931	0.579355510891899	0.553087210737415	0.527447148139912
GO:0031227	intrinsic to endoplasmic reticulum membrane	13	1.00197906969371	0.935519090399208	0.827973526085881	0.993030324389298	0.96817898545615	0.906754001477144
GO:0000159	protein phosphatase type 2A complex	13	0.983681644970735	0.900815521828995	0.839841491782347	1.03012897195367	0.941337184184241	0.930131739343298
GO:0000139	Golgi membrane	12	0.815539742163801	0.77664796354682	0.730157358742755	0.857460345293645	0.795856318654953	0.79125279206222
GO:0005801	cis-Golgi network	6	0.826668934973576	0.775345609929249	0.709350690514998	0.879071745989126	0.800596108906763	0.789664580711084
GO:0009654	oxygen evolving complex	23	1.0511930689871	0.959695203723604	0.87481694394057	1.05776009626671	1.00440278100691	0.961949299515482
GO:0019898	extrinsic to membrane	21	1.00725021878872	0.917762573971693	0.842235730576031	1.01990093791016	0.961465835809617	0.926820916658629
GO:0045263	proton-transporting ATP synthase complex%2C coupling factor F(o)	1	0.842864211748558	0.786297818228642	0.665422754891045	0.868935079136834	0.814089854230413	0.760400666872867
GO:0030127	COPII vesicle coat	10	0.758222145718305	0.696884527588909	0.648539108992657	0.771968947826626	0.726906652759727	0.707567702480462
GO:0000228	nuclear chromosome	2	0.707431680607584	0.671352784044117	0.635340058947913	0.772150506187797	0.68915617119555	0.700412841200114
GO:0000145	exocyst	38	0.927018322582105	0.865341133864905	0.765527042840868	0.941380246442382	0.89564897497666	0.848912266519836
