GO ID	GO term	genes	SpkBC1	SpkBC2	35S-C1	35S-C2	SpkBC	35S-C
GO:0008324	cation transmembrane transporter activity	22	1.12709899734219	1.05956081657461	0.998325234109738	1.13447080957997	1.09280827869499	1.06422311409055
GO:0000166	nucleotide binding	826	0.949566502665212	0.868798018936295	0.803685516990528	0.955019169601382	0.908284920255645	0.876090791560414
GO:0005524	ATP binding	1875	0.964720459934134	0.884189565265044	0.824083911403606	0.962511220854877	0.923577697907142	0.890612155571631
GO:0017111	nucleoside-triphosphatase activity	172	0.947763116254769	0.871007162586125	0.807991777125886	0.942987978471349	0.908574962616101	0.872884031549101
GO:0005515	protein binding	2611	0.95610544631343	0.870048105884701	0.809037891533546	0.956572646103372	0.91206235126281	0.879717861988795
GO:0016597	amino acid binding	23	0.990743779973207	0.882167144735126	0.818371238362988	0.976635270612778	0.93488053329987	0.894007950658355
GO:0003723	RNA binding	255	0.81903036330492	0.760296035552361	0.709202019267049	0.842667858110885	0.789116935705818	0.773059988968307
GO:0008173	RNA methyltransferase activity	11	0.871121534519498	0.765290513725132	0.714985641416666	0.874804348000545	0.81649313938909	0.790868224086199
GO:0008168	methyltransferase activity	153	0.968397186623467	0.907645833085354	0.828219675782813	0.965574964464389	0.937529557512919	0.894264046024829
GO:0004601	peroxidase activity	143	1.28537460822351	1.16878441074627	1.06464908535604	1.24866211898283	1.22569400914777	1.15299045221277
GO:0020037	heme binding	457	1.01082947742514	0.929346489333069	0.857392444709697	0.985305970203268	0.969232080649128	0.919126702136131
GO:0003684	damaged DNA binding	13	0.916250179191527	0.829140414636113	0.767872917999205	0.933081614385235	0.871607740606562	0.846456202038475
GO:0008138	protein tyrosine/serine/threonine phosphatase activity	19	0.930275235497511	0.860599597136591	0.788656199067894	0.956715599859276	0.894759460914108	0.868630927709794
GO:0008270	zinc ion binding	986	0.948210688672564	0.862642803182605	0.803110421506482	0.953946330278637	0.904415350646045	0.87528523316953
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	29	0.715837024875442	0.643995653073058	0.597985658075638	0.723719666951771	0.678966812391103	0.657855593047925
GO:0003700	sequence-specific DNA binding transcription factor activity	425	0.97143284163969	0.888612107511386	0.81571637416279	0.970952608755878	0.9291000940239	0.889956145828684
GO:0043565	sequence-specific DNA binding	259	1.03367988280424	0.926280234588952	0.860415715631521	1.03235438004724	0.978507661867697	0.94247224505217
GO:0043531	ADP binding	264	0.98254047022593	0.884575124481578	0.828180782079673	0.954603232803124	0.932271880278651	0.889147935901937
GO:0000155	two-component sensor activity	14	1.09631215995046	1.00115115373025	0.935916174666873	1.10084660070582	1.0476517473774	1.01503701382148
GO:0004673	protein histidine kinase activity	8	1.23209940612234	1.13095712978826	1.04954764416086	1.22929063620901	1.18044551249177	1.13586931080216
GO:0004871	signal transducer activity	44	1.25692708269152	1.04790258825217	0.979893491069615	1.16860432204007	1.14766595453411	1.07009708382131
GO:0016772	transferase activity%2C transferring phosphorus-containing groups	992	0.994121178367722	0.909565479942453	0.849960430490051	0.979151318215304	0.95090394190107	0.912271821303925
GO:0004672	protein kinase activity	1058	0.969828474203577	0.886821879049549	0.828416985646148	0.956820361318873	0.927396953763044	0.890306823251759
GO:0004674	protein serine/threonine kinase activity	798	0.969537966721955	0.884446784552185	0.828723198510858	0.952061279117946	0.926015516699638	0.888254056229952
GO:0004713	protein tyrosine kinase activity	397	0.994579941215457	0.916472833824937	0.854774382072311	0.976578612485951	0.954727970257062	0.913648936973449
GO:0008289	lipid binding	36	1.56886841985347	1.46558722735161	1.36768513313738	1.66807045841838	1.51634874535264	1.51042880236192
GO:0003735	structural constituent of ribosome	294	0.833411739363755	0.772509049698098	0.724563383188215	0.866791535408225	0.802382770741704	0.792493159222394
GO:0003824	catalytic activity	1183	1.06257301498475	0.970949574962773	0.906875296330936	1.05802038260253	1.01572871243573	0.979536904867213
GO:0004553	hydrolase activity%2C hydrolyzing O-glycosyl compounds	262	1.11184643324421	1.02943128873745	0.960773923647465	1.0887214264223	1.0698455527097	1.02274882381884
GO:0043169	cation binding	191	1.07186273524526	0.986401164352074	0.931455464207431	1.03493709570466	1.02824445054254	0.981833902910813
GO:0003676	nucleic acid binding	698	0.900353381753099	0.817191565429171	0.762556554044648	0.910069840400671	0.857765229811901	0.833054452863616
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity	1	1.01938031425937	0.988885531991933	0.885594453278721	0.58794153925513	1.00401715342343	0.72158004823893
GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity	3	0.818342443725425	0.760587457136057	0.704616485088807	0.665433367181561	0.788936625046415	0.684744711731519
GO:0015035	protein disulfide oxidoreductase activity	74	0.988442474615028	0.890251835400297	0.850987611816897	1.02269156261778	0.938063285292437	0.932897556271532
GO:0003677	DNA binding	1013	0.989510102829078	0.893075440072133	0.837479063382751	0.979131925124626	0.940057003877903	0.905539887349818
GO:0016787	hydrolase activity	260	0.982936155108912	0.876997343892003	0.818473737239532	0.968355491523973	0.928456998059649	0.890265992905519
GO:0031072	heat shock protein binding	104	0.926463726729204	0.863693153204756	0.779518411885	0.924799710390029	0.894528019387082	0.849057360579922
GO:0010285	L%2CL-diaminopimelate aminotransferase activity	2	2.50346713020408	2.42378110120575	2.1156942800384	2.48427198505579	2.463301913627	2.29258806348681
GO:0016769	transferase activity%2C transferring nitrogenous groups	30	1.14548448496091	1.05955583881283	0.980412535693223	1.15548426592992	1.10168270128465	1.06435485582299
GO:0030170	pyridoxal phosphate binding	113	1.13923908993955	1.04234903173107	0.976319404216966	1.14608708146102	1.08971774433047	1.05780293843078
GO:0004386	helicase activity	94	0.845757948880488	0.775439707166708	0.718742274787574	0.866474870862004	0.809835968708356	0.789159121932723
