spot no	proSPK-BC1	proSPK-BC2	pro35S-C1	pro35S-C2	empty vector1	empty vector2	empty vector3	empty vector4
12	0.002577536	0.005364624	0.005327104	0.004009084	0.007456385	0.00635875	0.005959702	0.005854594
13	0.2626196	0.2286238	0.2110148	0.2737956	0.2956203	0.1995603	0.3396004	0.2223371
14	0.3138447	0.3089713	0.2630602	0.3536165	0.118158	0.1834656	0.0687179	0.131086
15	0.002559733	0.005353921	0.005353595	0.004028741	0.007423547	0.006355361	0.005990645	0.005866628
16	1.705009	1.69907	1.521122	1.937138	2.065776	1.694871	1.554062	1.864423
17	0.05840479	0.05420496	0.04939235	0.0631217	0.07196348	0.0992485	0.02138527	0.02688086
18	0.5585629	0.5586411	0.5062039	0.6158025	0.3844619	0.449386	0.370639	0.5714197
19	0.04258408	0.03409713	0.03457497	0.04251734	0.06156235	0.04861298	0.06289026	0.04430253
20	0.002547201	0.005350519	0.005393846	0.004082013	0.007417443	0.006372016	0.007435025	0.00592616
21	3.700663	3.710363	3.274109	4.407363	3.921612	4.188846	2.770501	4.447383
22	0.01788842	0.0138728	0.01568807	0.01818484	0.02980083	0.02244705	0.03009856	0.02246852
23	1.927004	1.808074	1.683989	2.093658	1.853052	1.378514	1.393347	1.768879
24	0.2417365	0.2443919	0.2109204	0.2694594	0.2070327	0.03479545	0.07446698	0.04125619
25	0.002552547	0.005364013	0.005456738	0.00415213	0.007458377	0.006411937	0.006113584	0.006018712
26	0.0989218	0.1042662	0.1009301	0.09681544	0.09585827	0.07010953	0.09171744	0.06977115
27	2.824955	2.674449	2.460606	3.069791	3.043228	3.423142	2.20974	4.540142
28	0.08489489	0.07562905	0.06726723	0.08054275	0.1989707	0.03686277	0.008154418	0.03625988
29	0.03250397	0.03639517	0.02119448	0.0319688	0.02295769	0.01122974	0.01323264	0.01067681
30	1.171475	1.1086	0.9771094	1.25141	1.096759	0.9144146	1.112444	1.180845
31	0.00257556	0.005401761	0.005534896	0.004980397	0.007544266	0.006485492	0.006202343	0.006175154
32	2.417219	2.306676	2.102779	2.896047	1.931666	1.480635	1.821979	2.695505
33	1.479343	1.432884	1.237315	1.624796	0.968225	0.8522834	0.7749488	1.530887
34	0.3128431	0.3201705	0.2823241	0.3692911	0.3160087	0.3673909	0.2856154	0.4323201
36	1.687759	1.529486	1.432814	1.772713	1.649495	1.455501	1.224797	1.807161
37	5.87409	5.586847	5.15505	6.24403	5.242283	5.531867	4.229439	6.431179
38	0.01498028	0.01438335	0.0122292	0.01491152	0.0162133	0.03650417	0.03500001	0.01736011
39	0.4762898	0.4818351	0.4000649	0.4977898	0.4012427	0.3528752	0.3589506	0.5144621
40	0.04502235	0.04239766	0.04133163	0.03918489	0.03288636	0.01758118	0.02285991	0.03003162
41	0.4080017	0.3927492	0.3404127	0.4219425	0.3564722	0.4017628	0.349034	0.553896
42	0.0365739	0.03304276	0.02718707	0.03896839	0.04569538	0.04105529	0.05343114	0.08009533
43	3.749351	3.550268	3.237628	4.009385	2.237701	1.496983	1.213523	0.9113869
44	0.5588533	0.5507338	0.4732328	0.6078287	0.7596591	0.3496617	0.7271721	0.6251368
45	2.164297	2.086252	1.869664	2.184782	2.298916	2.394465	1.57965	2.718365
46	0.03528976	0.03280594	0.02547444	0.0362743	0.03797367	0.07549947	0.07320862	0.0449763
47	2.106375	2.0099	1.75005	1.898455	2.093729	1.946769	1.540923	1.292404
48	0.4182517	0.388778	0.335922	0.4109546	0.4261727	0.4264548	0.3703933	0.3701415
49	2.348113	2.223516	1.95088	2.047316	1.98414	2.024038	2.521487	2.41269
50	0.4219656	0.4034707	0.3413696	0.3755474	0.5760381	0.8477506	0.5170857	0.5341742
51	0.0218804	0.02244006	0.01438564	0.01327519	0.02755402	0.03044886	0.02063367	0.0208225
52	1.350418	1.365501	1.204969	1.357985	1.184994	1.831594	1.335829	1.79896
